,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
45,"San Francisco, CA",The Climate Corporation,fa52de9a162ab45f,Quantitative Analyst (Geospatial),,54.0,2,2 days,2016-10-16 11:54:58.624010
46,"San Francisco, CA",INMASI,1f3ceb540034d809,Data Scientist,,,,30 days,2016-10-16 11:54:58.624010
47,"San Francisco, CA 94103 (South Of Market area)",TellApart,bc06d0e24c4e3e4a,Software Engineer (Machine Learning) - TellApart,,,,10 days,2016-10-16 11:54:58.624010
48,"Berkeley, CA","Wise.io, Inc.",743867c5fae7ba2a,Data Scientist,,,,22 days,2016-10-16 11:54:58.624010
49,"San Francisco, CA",Atomic,6f6bb3c4f8ae0a4f,Data Scientist,,51.0,3,20 days,2016-10-16 11:54:58.624010
0,"San Francisco, CA",Macy's,0af2239cd618e17c,Data Scientist (macys.com),,43.2,14172,3 days,2016-10-16 11:54:58.624010
1,"San Francisco, CA",Hoodline,dd86068e34d0f55a,Machine Learning Data Scientist,,,,3 days,2016-10-16 11:54:58.624010
2,"San Francisco, CA 94107 (South Of Market area)",Ubisoft,30768ffa71fdfbc4,"Data Scientist, Marketing Analytics",,51.0,68,3 days,2016-10-16 11:54:58.624010
3,"San Francisco, CA 94107 (South Of Market area)",Doximity,788fdeb8484613ca,Data Scientist - Growth,,,,5 days,2016-10-16 11:54:58.624010
4,"San Francisco, CA",Stitch Fix,0aab0ad01a77733a,Data Scientist,,40.8,34,3 days,2016-10-16 11:54:58.624010
5,"San Francisco, CA 94114 (Castro-Upper Market area)",Apple,b1c75056addc71fd,"Software Engineer, Data Scientist",,52.800003,2568,3 days,2016-10-16 11:54:58.624010
6,"San Francisco, CA",Collective Health,632abb6406e661e9,Data Scientist,,,,3 days,2016-10-16 11:54:58.624010
7,"San Francisco, CA",Twitch,85e94cc9adaabf4d,Data Scientist,,55.800003,4,3 days,2016-10-16 11:54:58.624010
8,"San Francisco, CA",Autodesk,84871d782e858e82,Intern Data Scientist for Product Analytics,,52.199997,147,4 days,2016-10-16 11:54:58.624010
9,"San Francisco, CA 94103 (South Of Market area)",Yelp,0831dc37aed855a5,Data Scientist,,43.8,120,15 days,2016-10-16 11:54:58.624010
10,"San Francisco, CA",Lyft Corporate,18f59da561f5e53e,Data Scientist (All Levels),,44.4,11,8 days,2016-10-16 11:54:58.624010
11,"San Francisco, CA 94109 (Nob Hill area)",Oracle,5759cd4f3d7db96c,Data Scientist 2 | Utilities SaaS Analytics,,44.4,1012,11 days,2016-10-16 11:54:58.624010
12,"San Francisco, CA",Element Analytics,2e9b79b377fcf7fa,Data Scientist,,,,18 days,2016-10-16 11:54:58.624010
13,"San Francisco, CA",Zynga,41c2b86261039a04,"Data Scientist, Central Product Management",,44.4,36,2 days,2016-10-16 11:54:58.624010
14,"San Francisco, CA",Esurance,e1a86af2b06412ba,Data Scientist,,42.6,102,15 days,2016-10-16 11:54:58.624010
15,"San Francisco, CA 94107 (South Of Market area)",Scribd,0b09d641bbfa9bea,Data Scientist,,,,16 days,2016-10-16 11:54:58.624010
16,"Redwood City, CA","GraphSQL, Inc.",d3b247a86d61c50b,Data Scientist,,,,2 days,2016-10-16 11:54:58.624010
17,"San Francisco, CA",MsgAI,92726c3fc490726c,Data Scientist / Machine Learning / Deep Learning / NLP,,,,5 days,2016-10-16 11:54:58.624010
18,"San Francisco, CA",Opendoor,d84ed2518fffebb7,Data Engineer,,51.0,2,7 days,2016-10-16 11:54:58.624010
19,"San Carlos, CA",Upstart,31975e74bcc7ca3d,Growth Data Scientist,,51.0,3,3 days,2016-10-16 11:54:58.624010
20,"San Francisco, CA",BOLD,70b5977bdf506f99,Data Scientist,,41.4,8,19 days,2016-10-16 11:54:58.624010
21,"San Francisco, CA",Google,2b6c772e8386f21b,"Machine Learning Deployment Engineer, Professional Services,...",,52.800003,1218,16 days,2016-10-16 11:54:58.624010
22,"San Francisco, CA 94126 (Financial District area)",Affirm,6f80ee4691b67a7a,"Data Scientist, Analytics",,,,16 days,2016-10-16 11:54:58.624010
23,"San Francisco, CA 94105 (Financial District area)",TEKSystems,0abc4dff2377c229,Data Scientist,,44.4,1370,5 days,2016-10-16 11:54:58.624010
24,"San Francisco, CA 94107 (South Of Market area)",Eventbrite,cb8867c03dd90ae5,Associate Data Scientist,,40.8,3,18 days,2016-10-16 11:54:58.624010
25,"San Francisco, CA 94107 (South Of Market area)",Smule,c213c4ef2d4435c9,Data Scientist,,54.0,2,25 days,2016-10-16 11:54:58.624010
26,"San Francisco, CA 94103 (South Of Market area)",Uber,b0f406f28505d810,Data Scientist - UberPOOL (LatAm-Focused),,51.6,156,18 days,2016-10-16 11:54:58.624010
27,"San Francisco, CA",Esurance,2569ac90652ff3e1,Statistical Analyst,,42.6,102,2 days,2016-10-16 11:54:58.624010
