City,Population
"Cushing, Stout, Joice, and Woden",223
West Amana,222
Rake,221
Parnell and Cantril,220
Lineville and Jamaica,219
Panama and Moorhead,218
Blencoe,217
Van Wert and Packwood,215
Thurman,214
Lucas,213
Blairsburg,212
Ollie and Linden,210
Clutier,209
College Springs,208
South English,207
Melvin,206
Volga and Garden Grove,205
"Burr Oak, Arthur, and Rembrandt",204
Westgate,203
Woodburn,200
Kamrar,198
Stockton and Boxholm,197
Onslow,196
Hancock and Davis City,195
Elberon and Alvord,193
Beaman,192
Blockton,191
Barnum and Portsmouth,190
Decatur City,188
Wallingford and Gravity,187
Drakesville and Shambaugh,186
Coin,184
Henderson,183
Dickens and Tingley,182
"Sun Valley Lake, Frederika, Thor, and Rickardsville",181
Maysville and Hillsboro,180
Prairieburg,179
Lidderdale and Sherrill,176
"Kirkville, Pilot Mound, and Haverhill",175
Magnolia and Barnes City,174
Bridgewater and Climbing Hill,172
Lambs Grove and Aurora,171
"Oakville, Alexander, and Dundee",170
"Calumet, Vincent, and Randall",169
Soldier and Castalia,168
Rose Hill,167
Harris and Moorland,164
Woolstock,163
Little Sioux,162
"Leighton, Chapin, Patterson, and Geneva",161
"South Amana, Welton, Bristow, Swaledale, and Palmer",160
Millersburg,159
Exline and Lincoln,157
Delaware,156
"Randolph, Braddyville, Rowan, and Oakland Acres",155
Linn Grove,154
Reasnor,153
"Rock Falls, Mineola, and Williamson",152
McClelland and Monmouth,151
"Clemons, Hastings, and Meriden",150
Whitten and West Chester,149
Brunsville and Mount Auburn,148
Houghton and Panorama Park,144
Searsboro,143
"Ricketts, New Liberty, Clare, and Lone Rock",142
"Ayrshire, Floris, and Springbrook",140
Waterville and Franklin,139
"River Sioux, Webb, St. Lucas, and Dawson",138
Mitchell and Castana,137
Goodell,135
Bouton,134
Havelock and Larrabee,133
St. Donatus,131
St. Paul and Centralia,130
"Superior, Hamilton, Homestead, and Westfield",129
St. Marys,128
"Archer, Ledyard, and Ferguson",127
Westphalia and Rutland,126
Stanley and Chester,125
High Amana and Masonville,124
Watkins and Luther,123
East Peru and Green Mountain,122
McIntire,121
Toronto,120
Brayton and Weldon,119
Rome,117
Lanesboro and Marne,116
North Washington,115
Morley,114
"Duncan, North Buena Vista, and Derby",113
"Wiota, Promise City, and Westwood",112
"Macksburg, Bentley, and Center Junction",111
Martinsburg and Melrose,110
"Somers, Harper, and Bernard",109
"Oto, Carpenter, Buckeye, and Nodaway",108
Arion and Mount Union,107
"Baldwin, Cromwell, and St. Olaf",106
"Sageville, St. Anthony, and Fraser",103
Oyens and Willey,101
Andover and Unionville,100
Arispe,99
Pleasant Plain,98
Chillicothe,96
Hansell,95
Luzerne and California Junction,94
Morrison,93
Gruver,92
Zwingle and Numa,90
"Matlock, Grant, and Sharpsburg",88
Rathbun and Craig,87
Cylinder and Ackworth,86
Frytown and Garber,85
Bradgate,84
"Keomah Village, Yorktown, Hartwick, and Nemaha",83
"Truesdale, Redding, and Spragueville",81
Chatsworth and Clio,80
Graf,78
Struble and Popejoy,77
Ralston,75
"Greenville, Aredale, and Plover",74
"Swan, Webster, and Colwell",72
"Kinross, Scarville, and Rossie",71
Shannon City and Orchard,70
"Varina, Dana, and Plano",69
"Imogene, Randalia, Turin, Marysville, and Tennant",66
"Balltown, Bassett, and Bradford",65
Dolliver,64
Spring Hill,63
"Burchinal, Bevington, and Kirkman",62
Guernsey and Thornburg,61
Knierim and Gibson,60
Gray,59
Rodney,58
"Northboro, Valeria, Curlew, and Osterdock",57
"Thayer, Dougherty, and Jackson Junction",56
Rinard,52
Sandyville,51
"Vining, Hayesville, and Little Cedar",49
Gillett Grove and Beaver,48
"Coppock, Douds, and Cotter",47
"Hardy, Sexton, Pleasanton, East Amana, and Udell",46
Athelstan and Millerton,45
Rodman,44
"Owasa, Benton, Buck Grove, and St. Joseph",43
Ellston and Clayton,42
Conway,41
"Aspinwall, Rochester, and Coburg",40
"Blanchard, Loveland, New Haven, and Ottosen",37
"Mount Sterling, Toeterville, Garden City, Elkport, and Jacksonville",36
Bolan,35
Mona,34
Yetter,33
Berkley and Carbon,32
Galt,31
"Millville, St. Benedict, and Maloy",29
Corley and Leando,28
Jolley,27
"Delphos, Irvington, and Bankston",25
Durango,24
Pioneer and Hepburn,22
Percival,21
Kent,18
Portland,17
Beaconsfield,15
Le Roy,14
Anderson,12
Bartlett,11
Hutchins,10
Otranto,7
