Unity Technologies,1.50,1.5 B,7/13/16,United States,Gaming,"Sequoia Capital, iGlobe Partners, DFJ Growth",,,
Koudai Gouwu,1.40,1.4 B,10/23/14,China,eCommerce/Marketplace,"New Enterprise Associates, Tiger Global management, Tencent",,,
Hike,1.40,1.4 B,8/16/16,India,Social,"Foxconn, Tiger Global management, Tencent",,,
DraftKings,1.35,1.35 B,7/26/15,United States,Internet Software & Services,"Accomplice, GGV Capital, Redpoint Ventures",,,
Deem,1.35,1.35 B,11/15/11,United States,Big Data,"Empire Ventures, Foundational Capital, Oak Investment Partners",,,
Apttus,1.30,1.3 B,9/1/15,United States,Internet Software & Services,"Iconiq Capital, K1 Capital, Salesforce Ventures",,,
Thumbtack,1.30,1.3 B,9/29/15,United States,eCommerce/Marketplace,"Tiger Global, Sequoia Capital, Google Capital",,,
Go-Jek,1.30,1.3 B,8/4/16,Indonesia,On-Demand,"Formation Group, Sequoia Capital India, Warburg Pincus",,,
Ten-X,1.20,1.2 B,3/5/14,United States,Internet Software & Services,"Stone Point Capital, Google Capital",,,
Flatiron Health,1.20,1.2 B,1/6/16,United States,Healthcare,"Roche Venture Fund, Google Ventures, Social Capital",,,
Appnexus,1.20,1.2 B,8/18/14,United States,Adtech,"Khosla Ventures, Technology Crossover Ventures, Tribeca Venture Partners",,,
Warby Parker,1.20,1.2 B,4/30/15,United States,eCommerce/Marketplace,"BoxGroup, Felicis Ventures, First Round Capital",,,
Auto1 Group,1.20,1.2 B,8/3/15,Germany,eCommerce/Marketplace,"Digital Sky Technologies, Piton Capital, DN Capital",,,
Human Longevity,1.20,1.2 B,4/5/16,United States,Healthcare,"Celgene, GE Ventures, Draper Fisher Jurvetson",,,
Infinidat,1.20,1.2 B,4/29/15,Israel,Hardware,TPG Growth,,,
Okta,1.20,1.2 B,9/8/15,United States,Cybersecurity,"Andreessen Horowitz, Floodgate, Sequoia Capital",,,
OfferUp,1.20,1.2 B,9/8/16,United States,eCommerce/Marketplace,"Andreessen Horowitz, GGV Capital, T. Rowe Price",,,
Automattic,1.16,1.16 B,5/27/13,United States,Internet Software & Services,"Insight Venture Partners, Lowercase Capital, Polaris Partners",,,
Global Fashion Group,1.13,1.13 B,4/8/15,Luxembourg,eCommerce/Marketplace,"Access Industries, Rocket Internet, Tengelmann Ventures",,,
Shopclues,1.10,1.1 B,1/12/16,India,eCommerce/Marketplace,"Nexus Venture Partners, GIC Special Investments, Tiger Global Management",,,
Uptake,1.10,1.1 B,10/27/15,United States,Big Data,"GreatPoint Ventures, New Enterprise Associates, Caterpillar",,,
Proteus Digital Health,1.10,1.1 B,6/2/14,United States,Healthcare,"Novartis, Essex Woodlands, The Carlyle Group",,,
Actifio,1.10,1.1 B,3/24/14,United States,Big Data,"Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures",,,
TangoMe,1.10,1.1 B,3/20/14,United States,Social,"Draper Fisher Jurtson, Qualcomm Ventures, Alibaba Group",,,
Nextdoor,1.10,1.1 B,3/4/15,United States,Social,"Benchmark Capital, DAG Ventures, Insight Venture Partners",,,
TransferWise,1.10,1.1 B,1/26/15,United Kingdom,Fintech,"IA Ventures, Index Ventures, SV Angel",,,
